Date,Circular Stapler|Circular Stapler|Ethicon|Circular Stapler excl PPH,Circular Stapler|Circular Stapler|Ethicon|PPH,Circular Stapler|Circular Stapler|Medtronic|Circular Stapler excl PPH,Circular Stapler|Circular Stapler|Medtronic|PPH,Circular Stapler|Circular Stapler|Stryker Sustainability|Circular Stapler excl PPH,Endo Instruments|Endo Instruments|All Others|Endo Ligation,Endo Instruments|Endo Instruments|All Others|Endo Pouch,Endo Instruments|Endo Instruments|All Others|Endo Suture,Endo Instruments|Endo Instruments|All Others|Other Endo,Endo Instruments|Endo Instruments|Applied Medical|Endo Ligation,Endo Instruments|Endo Instruments|Applied Medical|Endo Pouch,Endo Instruments|Endo Instruments|Applied Medical|HALS,Endo Instruments|Endo Instruments|Applied Medical|Other Endo,Endo Instruments|Endo Instruments|Ethicon|Endo Ligation,Endo Instruments|Endo Instruments|Ethicon|Endo Pouch,Endo Instruments|Endo Instruments|Ethicon|Endo Suture,Endo Instruments|Endo Instruments|Ethicon|HALS,Endo Instruments|Endo Instruments|Ethicon|Other Endo,Endo Instruments|Endo Instruments|Intuitive|Endo Ligation,Endo Instruments|Endo Instruments|Intuitive|Other Endo,Endo Instruments|Endo Instruments|Medtronic|Endo Ligation,Endo Instruments|Endo Instruments|Medtronic|Endo Pouch,Endo Instruments|Endo Instruments|Medtronic|Other Endo,Endo Instruments|Endo Instruments|Sterilmed|Endo Ligation,Endo Instruments|Endo Instruments|Sterilmed|Endo Pouch,Endo Instruments|Endo Instruments|Sterilmed|Endo Suture,Endo Instruments|Endo Instruments|Sterilmed|HALS,Endo Instruments|Endo Instruments|Sterilmed|Other Endo,Endo Instruments|Endo Instruments|Stryker Corp|Other Endo,Endo Instruments|Endo Instruments|Stryker Sustainability|Endo Ligation,Endo Instruments|Endo Instruments|Stryker Sustainability|Endo Pouch,Endo Instruments|Endo Instruments|Stryker Sustainability|Endo Suture,Endo Instruments|Endo Instruments|Stryker Sustainability|Other Endo,Endo Instruments|Endo Instruments|Weck|Endo Ligation,Endo Instruments|Endo Instruments|Weck|Other Endo,Endocutter|35mm|All Others|JustRight,Endocutter|35mm|All Others|MicroCutter,Endocutter|35mm|Ethicon|Echelon Thoracic,Endocutter|35mm|Ethicon|ETS,Endocutter|35mm|Intuitive|Endowrist - Endocutter,Endocutter|35mm|Medtronic|Endo GIA Universal,Endocutter|35mm|Medtronic|Multi-Fire Endo GIA,Endocutter|35mm|Medtronic|Multi-Fire Endo TA,Endocutter|35mm|Medtronic|Tri-Staple,Endocutter|35mm|Medtronic|Tri-Staple 2.0,Endocutter|35mm|Stryker Sustainability|ETS/EZ,Endocutter|35mm|Stryker Sustainability|Multi-Fire Endo GIA,Endocutter|45mm|Ethicon|Echelon,Endocutter|45mm|Ethicon|ETS,Endocutter|45mm|Ethicon|ETS/EZ,Endocutter|45mm|Intuitive|Endowrist - Endocutter,Endocutter|45mm|Medtronic|Duet TRS,Endocutter|45mm|Medtronic|Endo GIA II,Endocutter|45mm|Medtronic|Endo GIA Universal,Endocutter|45mm|Medtronic|Tri-Staple,Endocutter|45mm|Medtronic|Tri-Staple 2.0,Endocutter|45mm|Stryker Sustainability|Echelon,Endocutter|45mm|Stryker Sustainability|ETS,Endocutter|45mm|Stryker Sustainability|ETS/EZ,Endocutter|45mm|Stryker Sustainability|Tri-Staple,Endocutter|60mm|Ethicon|Echelon,Endocutter|60mm|Ethicon|ETS,Endocutter|60mm|Ethicon|ETS/EZ,Endocutter|60mm|Medtronic|Duet TRS,Endocutter|60mm|Medtronic|Endo GIA II,Endocutter|60mm|Medtronic|Endo GIA Universal,Endocutter|60mm|Medtronic|Multi-Fire Endo GIA,Endocutter|60mm|Medtronic|Tri-Staple,Endocutter|60mm|Medtronic|Tri-Staple 2.0,Endocutter|60mm|Medtronic|Universal Roticulator,Endocutter|60mm|Stryker Sustainability|Echelon,Endocutter|60mm|Stryker Sustainability|Endo GIA Universal,Endocutter|60mm|Stryker Sustainability|Tri-Staple,Endocutter|Gun|All Others|JustRight,Endocutter|Gun|All Others|MicroCutter,Endocutter|Gun|Ethicon|Echelon,Endocutter|Gun|Ethicon|ETS,Endocutter|Gun|Intuitive|Endowrist - Endocutter,Endocutter|Gun|Medtronic|Endo GIA Ultra,Endocutter|Gun|Medtronic|Endo GIA Universal,Endocutter|Gun|Medtronic|iDrive,Endocutter|Gun|Medtronic|Multi-Fire Endo GIA,Endocutter|Gun|Medtronic|Multi-Fire Endo TA,Endocutter|Gun|Stryker Sustainability|Echelon,Endocutter|Gun|Stryker Sustainability|Endo GIA II,Endocutter|Gun|Stryker Sustainability|Endo GIA Ultra,Endocutter|Gun|Stryker Sustainability|Endo GIA Universal,Endocutter|Gun|Stryker Sustainability|ETS,Endocutter|Gun|Stryker Sustainability|Multi-Fire Endo GIA,Endocutter|Gun|Stryker Sustainability|Multi-Fire Endo TA,Endocutter|Gun|Stryker Sustainability|Ultra Universal,Endocutter|Gun|Stryker Sustainability|Universal,Endocutter|Gun|Stryker Sustainability|Universal Roticulator,Linear Cutter|Linear Cutter|Ethicon|Linear Cutter,Linear Cutter|Linear Cutter|Medtronic|Linear Cutter,Linear Cutter|Linear Cutter|Stryker Sustainability|Linear Cutter,Other Mech|Other Mech|All Others|Skin Stapler,Other Mech|Other Mech|Ethicon|Ligation,Other Mech|Other Mech|Ethicon|Linear Stapler/Curved,Other Mech|Other Mech|Ethicon|Other Mech/Kits,Other Mech|Other Mech|Ethicon|Skin Stapler,Other Mech|Other Mech|Medtronic|Ligation,Other Mech|Other Mech|Medtronic|Linear Stapler/Curved,Other Mech|Other Mech|Medtronic|Skin Stapler,Other Mech|Other Mech|Sterilmed|Ligation,Other Mech|Other Mech|Sterilmed|Skin Stapler,Other Mech|Other Mech|Stryker Sustainability|Ligation,Other Mech|Other Mech|Stryker Sustainability|Linear Stapler/Curved,Other Mech|Other Mech|Stryker Sustainability|Skin Stapler,Other Mech|Other Mech|Weck|Ligation,Other Mech|Other Mech|Weck|Skin Stapler,Trocar|Trocar|All Others|Trocar,Trocar|Trocar|Applied Medical|Trocar,Trocar|Trocar|Ethicon|Trocar,Trocar|Trocar|Intuitive|Trocar,Trocar|Trocar|Medtronic|Trocar,Trocar|Trocar|Sterilmed|Trocar,Trocar|Trocar|Stryker Sustainability|Trocar
1/1/2010,"  8,109 ","  1,512 ","  9,878 ",  209 ,,  407 ,"  2,222 ","  9,376 ","  12,963 ","  1,330 ","  22,444 ","  6,046 ","  20,739 ","  75,477 ","  64,647 ","  28,032 ",  25 ,"  80,696 ","  23,023 ","  9,018 ","  24,915 ","  27,509 ","  31,655 ",,  11 ,,,,,  41 ,  89 ,  3 ,"  2,064 ","  49,112 ",,,,,"  19,001 ",,"  11,508 ","  2,885 ","  1,536 ",  873 ,,  62 ,,"  7,420 ","  58,152 ","  4,196 ",,"  1,284 ","  1,882 ","  38,725 ","  3,677 ",,,  31 ,  21 ,,"  52,947 ",,"  3,382 ",  -   ,"  6,626 ","  35,711 ",  64 ,  351 ,,"  7,676 ",  12 ,  53 ,,,,"  10,683 ","  30,253 ",,  256 ,"  36,714 ",,"  3,103 ",  83 ,  6 ,  34 ,  3 ,,,,  37 ,,  6 ,  3 ,"  73,375 ","  53,084 ",  20 ,"  42,379 ","  200,023 ","  34,206 ","  1,850 ","  356,577 ","  26,437 ","  15,858 ","  95,879 ",  591 ,,  198 ,  198 ,  224 ,"  334,973 ","  11,904 ","  14,528 ","  207,235 ","  466,759 ","  47,105 ","  181,823 ",  961 ,"  28,912 "
2/1/2010,"  7,914 ","  1,608 ","  9,661 ",  278 ,,  322 ,"  2,209 ","  9,303 ","  12,841 ","  1,269 ","  22,802 ","  5,938 ","  20,412 ","  75,131 ","  64,270 ","  27,638 ",  31 ,"  77,812 ","  29,314 ","  10,101 ","  23,674 ","  26,670 ","  29,635 ",,  22 ,,,,,  55 ,  103 ,  3 ,"  1,590 ","  49,500 ",,,,,"  16,946 ",,"  11,271 ","  2,807 ","  1,330 ",  995 ,,  60 ,,"  7,852 ","  60,530 ","  4,428 ",,"  1,410 ","  1,761 ","  37,388 ","  4,056 ",,,  30 ,  19 ,,"  55,877 ",,"  2,494 ",  -   ,"  6,092 ","  34,191 ",  93 ,  706 ,,"  7,492 ",  12 ,  52 ,,,,"  11,407 ","  29,714 ",,  682 ,"  36,110 ",,"  3,106 ",  52 ,  3 ,  38 ,  3 ,  16 ,,,  35 ,,  3 ,  3 ,"  68,387 ","  56,068 ",  125 ,"  43,264 ","  197,173 ","  31,190 ","  2,300 ","  352,111 ","  25,150 ","  15,525 ","  91,621 ",  592 ,,  205 ,  334 ,  246 ,"  319,253 ","  12,058 ","  14,369 ","  208,643 ","  477,533 ","  46,608 ","  172,499 ",  803 ,"  27,499 "
3/1/2010,"  10,124 ","  1,823 ","  9,633 ",  336 ,  3 ,  335 ,"  2,362 ","  8,541 ","  11,683 ","  1,250 ","  22,950 ","  5,891 ","  19,752 ","  96,772 ","  81,475 ","  33,691 ",  34 ,"  102,046 ","  30,572 ","  10,132 ","  22,525 ","  26,550 ","  29,402 ",,  24 ,,,,,  48 ,  117 ,  3 ,"  1,520 ","  47,778 ",,,,,"  21,491 ",,"  11,388 ","  2,392 ","  1,141 ","  1,021 ",,  58 ,,"  9,664 ","  71,457 ","  5,290 ",,"  1,542 ","  1,832 ","  35,132 ","  4,952 ",,,  31 ,  24 ,,"  73,765 ",,"  3,630 ",  -   ,"  5,294 ","  32,775 ",  182 ,"  1,114 ",,"  7,070 ",  11 ,  50 ,,,,"  14,278 ","  37,449 ",,"  1,153 ","  34,850 ",,"  2,806 ",  35 ,  3 ,  29 ,,  13 ,,,  3 ,,  3 ,  3 ,"  86,399 ","  54,571 ",  134 ,"  41,980 ","  247,046 ","  38,501 ","  2,243 ","  436,789 ","  24,208 ","  14,140 ","  87,278 ",  664 ,,  204 ,  348 ,  271 ,"  297,424 ","  11,691 ","  15,152 ","  205,645 ","  603,214 ","  45,207 ","  165,656 ",  670 ,"  28,561 "
4/1/2010,"  7,848 ","  1,446 ","  9,232 ",  367 ,  12 ,  378 ,"  2,269 ","  8,592 ","  11,178 ","  1,418 ","  24,116 ","  5,924 ","  19,455 ","  77,083 ","  65,715 ","  28,256 ",  32 ,"  82,200 ","  28,147 ","  10,047 ","  23,398 ","  28,173 ","  29,236 ",,  34 ,,,,,  46 ,  120 ,,"  1,689 ","  46,261 ",,,,,"  16,207 ",,"  11,392 ","  2,815 ","  1,122 ","  1,135 ",,  56 ,,"  6,928 ","  60,481 ","  4,767 ",,"  1,565 ","  1,929 ","  34,654 ","  6,290 ",,,  40 ,  37 ,,"  55,532 ",,"  2,136 ",  -   ,"  5,366 ","  32,095 ",  175 ,"  2,318 ",,"  6,562 ",  9 ,  23 ,,,,"  11,680 ","  30,490 ",,"  1,977 ","  34,844 ",,"  3,047 ",  51 ,,  28 ,,  13 ,,,  3 ,,  8 ,  3 ,"  69,539 ","  56,152 ",  132 ,"  41,489 ","  193,216 ","  33,101 ","  2,037 ","  353,671 ","  25,480 ","  14,517 ","  86,530 ",  663 ,,  228 ,  349 ,  203 ,"  306,036 ","  12,108 ","  14,425 ","  216,509 ","  479,099 ","  44,069 ","  170,041 ",  315 ,"  25,240 "
5/1/2010,"  8,017 ","  1,579 ","  9,064 ",  408 ,  14 ,  348 ,"  2,022 ","  7,584 ","  10,201 ","  1,528 ","  23,388 ","  5,841 ","  20,475 ","  78,473 ","  66,159 ","  28,298 ",  28 ,"  84,337 ","  28,167 ","  9,448 ","  23,584 ","  29,015 ","  29,277 ",,  31 ,,,,,  49 ,  120 ,,"  1,565 ","  43,171 ",,,,,"  18,376 ",,"  11,633 ","  2,883 ","  1,211 ","  1,021 ",,,,"  11,478 ","  59,403 ","  3,865 ",,"  1,582 ","  1,936 ","  33,240 ","  7,522 ",,,  15 ,  33 ,,"  63,783 ",,"  2,172 ",  -   ,"  4,285 ","  30,169 ",  169 ,"  3,813 ",,"  6,108 ",  2 ,  12 ,,,,"  13,569 ","  31,263 ",,"  3,487 ","  32,522 ",,"  3,193 ",  89 ,  2 ,  10 ,,  17 ,,,  2 ,,  7 ,  17 ,"  72,154 ","  55,797 ",  127 ,"  41,530 ","  200,395 ","  31,476 ","  1,936 ","  359,862 ","  23,243 ","  14,273 ","  85,165 ",  669 ,,  318 ,  239 ,  150 ,"  274,620 ","  12,341 ","  14,430 ","  207,659 ","  485,637 ","  44,038 ","  160,831 ",  245 ,"  22,742 "
6/1/2010,"  9,971 ","  1,563 ","  9,128 ",  385 ,  14 ,  423 ,"  2,129 ","  6,492 ","  10,937 ","  1,604 ","  22,627 ","  5,634 ","  18,958 ","  93,736 ","  77,795 ","  34,648 ",  31 ,"  100,498 ","  29,497 ","  9,574 ","  25,538 ","  31,644 ","  29,612 ",,  37 ,,,,,  41 ,  92 ,,"  1,838 ","  44,607 ",,,,,"  21,415 ",,"  11,971 ","  3,513 ","  1,484 ","  1,133 ",,  2 ,,"  24,006 ","  67,205 ","  4,802 ",,"  1,609 ","  2,052 ","  33,496 ","  9,087 ",,,  14 ,  24 ,,"  69,430 ",,"  2,580 ",  -   ,"  4,407 ","  31,467 ",  149 ,"  5,645 ",,"  6,384 ",  5 ,  21 ,,,,"  16,969 ","  36,003 ",,"  4,654 ","  31,252 ",,"  3,570 ",  94 ,  2 ,  10 ,,  17 ,,  5 ,  2 ,,  7 ,  17 ,"  88,044 ","  55,678 ",  167 ,"  42,327 ","  235,233 ","  37,494 ","  2,113 ","  439,157 ","  25,823 ","  15,393 ","  89,086 ",  662 ,,  272 ,  264 ,  83 ,"  317,890 ","  12,053 ","  14,587 ","  208,284 ","  577,778 ","  43,424 ","  173,658 ",  183 ,"  21,001 "
7/1/2010,"  7,963 ","  1,209 ","  9,330 ",  453 ,  16 ,  491 ,"  2,216 ","  6,172 ","  11,680 ","  1,823 ","  23,374 ","  5,524 ","  19,279 ","  74,989 ","  62,271 ","  28,008 ",  23 ,"  78,627 ","  26,825 ","  8,984 ","  26,792 ","  34,171 ","  29,991 ",,  30 ,,,,,  31 ,  75 ,,"  2,151 ","  44,995 ",,,,,"  17,093 ",,"  12,047 ","  3,780 ","  1,834 ","  1,103 ",,  2 ,,"  23,240 ","  53,865 ","  3,326 ",,"  1,455 ","  2,094 ","  33,147 ","  12,076 ",,,  14 ,  23 ,,"  60,572 ",,"  2,437 ",  -   ,"  4,306 ","  32,659 ",  155 ,"  8,250 ",,"  6,482 ",  5 ,  20 ,,,,"  14,703 ","  28,690 ",,"  5,781 ","  30,524 ",,"  3,858 ",  110 ,  2 ,  2 ,,  7 ,,  5 ,  2 ,,  7 ,  16 ,"  71,329 ","  55,030 ",  69 ,"  41,952 ","  184,676 ","  30,362 ","  1,894 ","  354,424 ","  26,570 ","  16,375 ","  92,315 ",  743 ,,  307 ,  181 ,  54 ,"  285,738 ","  11,847 ","  13,821 ","  210,890 ","  467,407 ","  41,239 ","  183,601 ",  204 ,"  21,242 "
8/1/2010,"  8,241 ","  1,234 ","  9,357 ",  495 ,  13 ,  497 ,"  2,076 ","  5,721 ","  12,860 ","  1,843 ","  24,122 ","  5,397 ","  19,148 ","  77,467 ","  64,340 ","  28,447 ",  20 ,"  81,698 ","  28,872 ","  9,197 ","  28,222 ","  35,733 ","  29,610 ",,  31 ,,,,,  44 ,  77 ,,"  2,467 ","  46,710 ",,,,,"  16,037 ",,"  12,227 ","  4,251 ","  1,912 ","  1,234 ",,  2 ,,"  24,618 ","  50,254 ","  2,985 ",,"  1,342 ","  2,047 ","  33,875 ","  14,664 ",,,  14 ,  18 ,,"  61,194 ",,"  2,079 ",  -   ,"  4,312 ","  33,993 ",  123 ,"  11,251 ",,"  6,490 ",  5 ,  19 ,,,,"  15,260 ","  27,928 ",,"  7,120 ","  29,926 ",,"  4,050 ",  166 ,  2 ,,,  5 ,,  6 ,,,  7 ,  25 ,"  74,100 ","  55,918 ",  58 ,"  43,069 ","  188,920 ","  31,606 ","  1,937 ","  355,832 ","  28,805 ","  17,865 ","  96,489 ",  836 ,,  292 ,  194 ,  18 ,"  453,148 ","  11,586 ","  13,011 ","  213,008 ","  481,121 ","  42,529 ","  197,934 ",  241 ,"  19,402 "
9/1/2010,"  10,020 ","  1,509 ","  12,395 ",  669 ,  11 ,  716 ,"  3,099 ","  8,474 ","  21,193 ","  2,557 ","  38,661 ","  8,329 ","  29,489 ","  97,009 ","  78,920 ","  33,315 ",  25 ,"  95,557 ","  45,474 ","  13,297 ","  43,825 ","  55,866 ","  45,105 ",,  32 ,,,,,  62 ,  111 ,,"  3,963 ","  73,012 ",,,,,"  20,466 ",,"  15,035 ","  4,722 ","  2,463 ","  1,562 ",,  3 ,,"  35,870 ","  60,114 ","  4,299 ",,"  1,666 ","  2,420 ","  42,161 ","  20,672 ",,,,  38 ,,"  76,524 ",,"  2,035 ",  -   ,"  5,466 ","  41,031 ",  208 ,"  17,107 ",,"  7,884 ",  5 ,  15 ,,,,"  19,585 ","  33,308 ",,"  9,704 ","  35,471 ",,"  4,994 ",  242 ,  3 ,,,  5 ,,  8 ,,,  3 ,  30 ,"  93,031 ","  65,169 ",  95 ,"  57,542 ","  227,504 ","  38,740 ","  2,114 ","  436,489 ","  36,088 ","  23,100 ","  124,190 ","  1,108 ",,  321 ,  261 ,  40 ,"  765,881 ","  13,773 ","  19,756 ","  328,873 ","  589,066 ","  69,173 ","  317,958 ",  637 ,"  29,670 "
10/1/2010,"  8,407 ","  1,304 ","  10,690 ",  539 ,  7 ,  709 ,"  2,665 ","  7,462 ","  19,211 ","  2,164 ","  34,474 ","  7,052 ","  26,556 ","  76,574 ","  61,164 ","  28,165 ",  22 ,"  79,284 ","  34,949 ","  12,037 ","  36,613 ","  47,811 ","  37,249 ",,  36 ,,,,,  42 ,  80 ,,"  3,761 ","  62,175 ",,,,,"  16,421 ",,"  10,886 ","  3,412 ","  1,967 ","  1,430 ",,  4 ,,"  27,638 ","  45,716 ","  3,089 ",,"  1,258 ","  1,631 ","  30,454 ","  18,271 ",,,,  29 ,,"  58,662 ",,"  1,573 ",  -   ,"  4,290 ","  29,523 ",  212 ,"  14,018 ",,"  5,870 ",  2 ,  8 ,,,,"  15,492 ","  25,567 ",,"  7,570 ","  25,677 ",,"  3,941 ",  189 ,,,,,,  6 ,,,,  10 ,"  74,493 ","  47,703 ",  74 ,"  48,354 ","  185,662 ","  32,348 ","  1,768 ","  359,134 ","  28,563 ","  18,061 ","  96,452 ",  862 ,,  164 ,  206 ,  40 ,"  477,620 ","  11,196 ","  17,435 ","  294,914 ","  548,425 ","  61,534 ","  278,455 ",  449 ,"  25,242 "
